LAT,LON,T [°C]
-22.09833333,-43.20833333,20.2
-22.653579,-44.040916,21.1
-22.86749999,-43.10194444,28.6
-22.97555554,-44.30333333,
-21.9386111,-42.60083333,19.8
-21.95055555,-42.01027777,16.5
-18.29138888,-40.73638888,23.3
-19.40722222,-40.53972221,24.2
-20.38555555,-41.18999999,16.1
-20.46694443,-40.40388888,23.9
-22.37388888,-44.70305555,
-22.93999999,-43.40277777,21.2
-22.34722221,-43.41777777,16.4
-20.483333,-29.321389,
-22.91472222,-43.15944444,
-22.98833333,-43.19055555,25.1
-22.97416667,-43.21777778,
-22.986979,-43.370102,
-22.89472222,-43.29138889,
-22.91111111,-43.22722221,
-20.10416666,-41.10694444,22.1
-22.64583333,-42.41555555,20.7
-22.8711111,-42.60888888,21.6
-23.49638888,-46.61999999,25.2
-20.447195,-54.722615,28.8
-22.5525,-55.71638888,29.8
-20.79499999,-51.71333333,27.9
-22.358052,-49.028877,27.5
-22.75027777,-45.60388888,14.0
-22.11999999,-51.40861111,29.8
-20.58444444,-47.38249999,
-22.30055555,-53.82277777,29.5
-19.69555555,-51.18166666,29.2
-21.980353,-47.883927,21.6
-24.67166666,-47.54583333,20.1
-23.4261111,-47.58555555,23.4
-23.98194443,-48.88583333,24.9
-23.89083333,-47.99916666,
-23.00055555,-49.84333333,27.7
-18.9886111,-56.62277777,26.9
-22.37277777,-50.97472221,19.6
-20.47555554,-55.78388888,25.4
-18.51222222,-54.7361111,29.9
-22.19388888,-54.91138888,28.8
-20.39555555,-56.43166666,27.8
-21.70583333,-57.88666666,33.4
-18.99666666,-57.63749999,31.7
-23.10166666,-48.9411111,24.8
-22.70305555,-47.62333332,26.6
-21.66611111,-49.73472221,24.7
-23.04166666,-45.52083332,
-20.40333333,-49.96611111,
-18.80222222,-52.6025,26.0
-21.60916666,-55.17749999,24.0
-19.42027777,-54.55305555,26.0
-20.165,-50.59499999,25.5
-21.31916666,-50.93027777,24.4
-21.08555555,-49.92027777,
-21.13305554,-48.84055555,21.1
-21.85555555,-48.79972221,
-21.78055554,-47.07527777,
-22.415,-46.80527777,
-23.22833332,-45.41694443,22.1
-22.4711111,-48.5575,27.7
-19.12249999,-51.72083332,27.2
-21.77499999,-54.52805554,25.4
-22.94916666,-46.5261111,24.4
-24.047845,-46.26334,
-24.96277777,-48.41638888,16.0
-21.33833333,-48.11388888,21.6
-20.55916666,-48.54499999,25.7
-22.85722222,-54.60555555,28.3
-23.0025,-55.32944443,27.3
-23.96694443,-55.02416666,27.7
-23.44944444,-54.18194443,29.2
-20.35972222,-47.77527777,19.9
-20.98166666,-54.97194443,26.4
-23.52388888,-46.86944443,22.7
-20.44444444,-52.87583332,27.4
-22.10166666,-56.54083333,
-21.4786111,-56.13777777,28.3
-21.75,-52.47138888,29.3
-18.49277777,-53.17138888,26.4
-17.63527777,-54.76055555,26.7
-21.45777777,-51.55222222,
-22.235222,-49.965111,29.2
-20.94805555,-48.47138888,18.9
-23.84472221,-46.14333333,21.5
-24.53305554,-47.86416666,22.3
-23.81083333,-45.4025,
-21.927251,-50.490251,26.8
-22.68888888,-45.00555555,21.8
-21.46111111,-47.57944443,22.9
-23.724501,-46.677501,23.1
-30.05361111,-51.17472221,17.1
-32.07888888,-52.16777777,15.2
-29.72499999,-53.72055554,19.0
-30.75055555,-55.40138888,15.7
-27.85444444,-53.7911111,26.6
-27.6025,-48.61999999,21.9
-25.4486111,-49.23055554,24.6
-29.35027777,-49.73333333,
-29.83999999,-57.08194443,16.8
-27.89055555,-54.47999999,22.7
-31.40333333,-52.70083333,14.5
-30.54527777,-53.46694443,15.4
-29.87222221,-52.38194443,18.3
-28.53249999,-49.31527777,22.9
-28.27555554,-49.93472221,20.4
-26.40638888,-52.85027777,26.2
-26.91361111,-49.26805554,22.5
-25.01083333,-50.85388888,24.7
-24.77999999,-50.04638888,
-24.53333333,-54.01916666,27.3
-23.50527777,-49.94638888,25.0
-24.43388888,-51.95388888,
-25.567879,-51.077946,21.3
-23.39027777,-53.63583333,
-24.18388888,-53.04888888,29.0
-29.70916666,-55.52555554,17.2
-31.34777777,-54.01333333,14.5
-27.65777777,-52.30583333,24.7
-28.7486111,-50.05777777,
-28.65,-56.01638888,19.4
-30.368578,-56.437115,16.9
-30.34138888,-54.31083333,18.1
-29.191599,-54.885653,17.2
-30.01027777,-50.13583333,
-23.40527777,-51.93277777,27.9
-32.53472221,-53.37583332,13.5
-28.859211,-52.542387,25.1
-30.80805555,-51.83416666,15.5
-28.22666666,-52.40361111,23.0
-29.164581,-51.534202,20.4
-27.16916666,-51.55888888,
-23.41527777,-50.57777777,26.6
-25.69916666,-53.09527777,26.2
-28.222381,-51.512845,23.1
-28.12694443,-49.47972221,19.1
-25.60194444,-54.48305554,24.3
-25.49444444,-48.3261111,
-26.286562,-53.633114,27.2
-22.63944444,-52.89027777,28.9
-22.65833333,-52.13444444,27.1
-26.08138888,-48.64166666,17.0
-28.41722221,-54.9625,22.4
-28.60344,-53.673597,20.6
-27.39555555,-53.42944443,20.9
-25.72194443,-53.74805555,26.1
-27.92027777,-53.31805554,27.3
-26.78638888,-53.51416666,
-26.938666,-52.39809,24.7
-26.819156,-50.98552,17.3
-27.2886111,-50.60416666,22.2
-26.93749999,-50.14555555,18.7
-26.2486111,-49.57416666,18.4
-27.41833332,-49.64694444,19.4
-26.3936111,-50.36333333,17.3
-27.80222222,-50.33555555,21.5
-28.60444444,-48.81333333,21.4
-28.931353,-49.49792,17.8
-26.95083333,-48.76194444,20.1
-23.35916666,-52.93194443,
-27.6786111,-49.04194444,16.9
-23.77333332,-50.18055554,26.9
-24.28027777,-50.21027777,23.3
